Marca temporal,Nombre del mapa,Descripción del mapa,Fecha de creación/inicio (aproximada),Fecha de última actualización (aproximada),Administración en la que se encuadra el mapa,Estado del mapa,Ámbito / Alcance,autor_apellidos,Apellido - Autor/a,Localizaciones geográficas,Nombre - Autor/a,URL,geo_longitud,geo_latitud
2/06/2021 10:21:57,Publicación de noticias y avisos en la Intranet,Publicación de noticias y avisos en la Intranet de la Delegación del Gobierno en Córdoba,2020-01-29,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 10:23:04,Mantenimiento del inventario del equipamiento informático y telefónico,Mantenimiento del inventario del equipamiento informático y telefónico dependiente del Departamento de Informática de la Delegación del Gobierno en Córdoba,2020-01-29,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 10:25:17,Plataformado y configuración inicial de un ordenador,"Proceso de plataformado de un ordenador nuevo con una imagen de disco con drivers y aplicaciones preinstaladas, así como la configuración inicial del sistema y las aplicaciones necesarias.",2020-01-29,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 10:31:36,Configuración de perfil móvil de usuario/a,Activación y configuración de perfil móvil de usuario/a en el Sistema Operativo Windows para permitir la movilidad de dicho usuario/a en diferentes ordenadores dentro del Dominio de Directorio Activo y poder acceder a sus datos y configuraciones de aplicaciones (que soporte la modalidad de perfil móvil).,2020-01-29,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 12:19:20,Mantenimiento de usuarios de la aplicación ECO,Mantenimiento de usuarios de la aplicación ECO,2020-01-29,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 12:21:55,Configuración de la firma digital de usuarios/as,Instalación y configuración de los componentes y datos necesarios para usar la firma o certificado digital por parte de un usuario/a en documentos y aplicaciones,2020-01-29,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 12:27:58,Preparación de una videoconferencia mediante red corporativa,Preparación de una videoconferencia mediante red corporativa,2020-01-29,2020-02-13,Administración General,Fase 2 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 12:30:03,Instalación de una nueva cola de impresión,"Instalación, configuración y despliegue de una nueva cola de impresión en un Servidor de Impresión del Dominio de Directorio Activo de la Delegación del Gobierno en Córdoba",2020-01-29,2020-02-13,Administración General,Fase 2 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 12:31:56,Recuperación de archivos borrados de una unidad de red,Recuperación de archivos borrados de una unidad de red de un Servidor dentro del Dominio de Directorio Activo de la Delegación del Gobierno en Córdoba,2020-01-29,2020-06-10,Administración General,Fase 4 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 12:36:48,Configuración inicial de puesto de trabajo de usuario/a,Configuración inicial de puesto de trabajo de usuario/a,2020-01-16,2020-02-09,Administración General,Fase 1 (del Manual 1.0),Proceso,Blanco Wasmer,Pedro,Delegación del Gobierno en Córdoba,,,-4.7841887,37.8841488
2/06/2021 13:19:38,Registro de ofertas,Registro de ofertas,2020-02-24,2020-02-24,Empleo,Fase 0 (del Manual 1.0),Proceso,López Caballero,José María,"SAE, Centro de Empleo de San José de la Rinconada",,,-5.9436615,37.4822431
2/06/2021 13:20:21,Mecanismos de búsquedas y gestión de candidatos,Mecanismos de búsquedas y gestión de candidatos,2020-02-29,2020-02-29,Empleo,Fase 0 (del Manual 1.0),Proceso,López Caballero,José María,"SAE, Centro de Empleo de San José de la Rinconada",,,-5.9436615,37.4822431
2/06/2021 13:22:13,Área de Ofertas,Área de Ofertas,2020-02-24,2020-02-24,Empleo,Fase 4 (del Manual 1.0),Área,López Caballero,José María,"SAE, Centro de Empleo de San José de la Rinconada",,,-5.9436615,37.4822431
2/06/2021 13:39:40,Calificación Instalaciones Turísticas,Calificación Instalaciones Turísticas,2020-01-19,2020-01-19,Administración General,Fase 0 (del Manual 1.0),Proceso,Jaén Toscano,Carlos,"Departamento de Instalaciones y Obras, Servicio de Turismo, Delegación Territorial de Turismo, Regeneración, Justicia y Administración Local en Córdoba",,,-4.7826835,37.8866752
2/06/2021 13:40:20,Gestión de propuestas de proyectos hoteleros y apartamentos turísticos,Gestión de propuestas de proyectos hoteleros y apartamentos turísticos,2020-01-19,2020-01-19,Administración General,Fase 0 (del Manual 1.0),Proceso,Jaén Toscano,Carlos,"Departamento de Instalaciones y Obras, Servicio de Turismo, Delegación Territorial de Turismo, Regeneración, Justicia y Administración Local en Córdoba",,,-4.7826835,37.8866752
2/06/2021 13:43:02,Implantar un sistema de teletrabajo en el servicio de Turismo,Implantar un sistema de teletrabajo en el servicio de Turismo,2020-05-27,2020-05-27,Administración General,Fase 1 (del Manual 1.0),Proceso,Jaén Toscano,Carlos,"Servicio de Turismo, Delegación Territorial de Turismo, Regeneración, Justicia y Administración Local en Córdoba",,,-4.7826835,37.8866752
2/06/2021 14:08:47,Área de Demandas,Área de Demandas,2019-02-22,2019-06-16,Empleo,Fase 4 (del 1º Curso de Conocimiento Crítico),Área,Culpián García,Elvira,"SAE, Centro de Empleo de Linares",,,-3.6361438,38.0913123
2/06/2021 14:17:52,Área de Intermediación,Área de Intermediación,2019-02-22,2019-06-16,Empleo,Fase 4 (del 1º Curso de Conocimiento Crítico),Área,Hernández Moreno,Antonio,"SAE, Centro de Empleo de Chiclana",,,-6.1553866,36.4174639
2/06/2021 14:19:56,Área de Orientación,Área de Orientación,2019-02-22,2019-02-22,Empleo,Fase 1 (del 1º Curso de Conocimiento Crítico),Área,Hernández Moreno,Antonio,"SAE, Centro de Empleo de Chiclana",,,-6.1553866,36.4174639
2/06/2021 14:32:22,Técnico de Prevención de Riesgos Laborales,Técnico de Prevención de Riesgos Laborales,2019-02-22,2019-05-22,Administración General,Fase 4 (del 1º Curso de Conocimiento Crítico),Puesto,Sánchez Encinas,José Luis,Centro de Prevención de Riesgos Laborales de Almería,,,-2.4433644,36.8238722
2/06/2021 14:37:51,Gestión Patrimonio Inmobiliario Órganos Judiciales,Gestión Patrimonio Inmobiliario Órganos Judiciales,2019-02-22,2019-06-02,Administración General,Fase 4 (del 1º Curso de Conocimiento Crítico),Área,Jaén Toscano,Carlos,"Departamento de Infraestructuras, Servicio de Justicia, Delegación Territorial de Turismo, Regeneración, Justicia y Administración Local en Córdoba",,,-4.7881483,37.8777414
03/06/2021,Maquetación de revista,Maquetación de portada,2021,2021-06-01,Administración General,Fase 4,Proceso,Blanco Wasmer,Pedro,Delegación de Gbierno en Córdoba,,https://docs.google.com/spreadsheets/d/e/2PACX-1vRswDa953PAVmJcRJVnpOIB1kXzvpyvqgiDqeb7YpENwyAqUebQ6nRSUUXlb49eMbgEckkjRSFthmg9/pubhtml?widget=true&amp;headers=false,-4.7841887,37.8841488
03/06/2021,Actividad: Elevar Informe a la S. G.,Reducir tiempo desde envio de informe a la autorización,2021,2021-06-01,Administración General,Fase 4,Proceso,Cobreros Fernández,María de las Mercedes,Delegación de Gobierno en Almería,,,-2.4634845,36.8360391
03/06/2021,Plan de Actuación de Zona. Planes de Centro de los Centros afectados.,"Establecer un horario de acuerdo con las necesidades del alumnado de los Centros, priorizando las intervenciones. ",2021,2021-06-01,Administración General,Fase 4,Organización,Gamero García,Rafael,"Consejería de Educación y Deporte, Sevilla",,,-5.9638453,37.3752813
03/06/2021,Crear un Repositorio Documental Normativo,Unificar y compartir los criterios de aplicación sobre la normativa de turismo en Andalucia ,2021,2021-06-01,Administración General,Fase 4,Organización,Jaén Toscano,Carlos,"Consejería de Turismo, Regeneración, Justicia y Administración Local, Córdoba",,,-4.775127,37.8847776
03/06/2021,Recepción por parte del contribuyente de las  notificaciones y requerimientos,Eficacia/Rápidez,2021,2021-06-01,Administración General,Fase 4,Proceso,Jiménez Alcalá,Inmaculada,"Consejería de Hacienda, Industria y Energía, Huelva",,,-6.9573174,37.2599688
03/06/2021,Procesos de Facturación de contratación menor ,Tramitación económica de contratos conforme a la cadena lógica de contratación menor (Planifica –>Ejecuta –> Paga) ,2021,2021-06-01,Administración General,Fase 4,Proceso,Jiménez Rodrigo,Juan Manuel,Delegación de Gobierno en Granada,,,-3.6020075,37.18288
03/06/2021,Planificación y puesta en marcha de los talleres de formación de dirección,Formación del personal directivo,2021,2021-06-01,Administración General,Fase 4,Proceso,Lara Ruiz,Encarnación,"Consejería de la Presidencia, Administración Pública e Interior, Sevilla",,,-5.9931103,37.3802139
03/06/2021,Área Asistencial Anatomía Patológica,Asistencia y mejora diagnóstico,2021,2021-06-01,Sanidad,Fase 4,Área,Lavado Fernández,Ana Isabel,Consejería de Salud y Familia - Hospital Universitario de Málaga,,,-4.4482539,36.7231793
03/06/2021,"Actividades, funciones y competencias",Priorización de plan de formación,2021,2021-06-01,Administración General,Fase 4,Área,Martínez Fernández,José Antonio,"Consejería de la Presidencia, Administración Pública e Interior, Sevilla",,,-5.9931103,37.3802139
03/06/2021,Evaluación de cursos de formación,,2021,2021-06-01,Administración General,Fase 4,Área,Membrive Mingorance,Lourdes Estrella,"Consejería de la Presidencia, Administración Pública e Interior, Sevilla",,,-5.9931103,37.3802139
3/06/2021 10:31:57,Actualización de procedimientos preventivos ,Planificar actividad de actualización de los procesos preventivos actuales y su implementación a nuevo programa informático ,2021-05-03,2021-06-01,Sanidad,Fase 4,Área,Real Álvarez,Juan Antonio,"Servicio de mantenimiento, Hospital Universitario de Jerez, Servicio Andaluz de Salud, 11408 , Jerez de la Frontera",,,-6.1508098,36.699219
03/06/2021,Justificación de subvenciones,Minimización de los tiempos de Justificación,2021,2021-06-01,Administración General,Fase 4,Proceso,Sánchez Gómez,Beatriz,"Consejería de Igualdad, Políticas Sociales y Conciliación, Sevilla",,,-5.9585041,37.3693308
03/06/2021,Procedimiento operativo,Indicadores,2021,2021-06-01,Administración General,Fase 4,Proceso,Sánchez Ruiz,Juan,"Consejería de Cultura y Patrimonio Histórico, Sevilla",,,-5.9875628,37.3869618
03/06/2021,Gestión forestal sostenible,Planes anuales de aprovechamiento,2021,2021-06-01,Administración General,Fase 4,Organización,Santos Fernández,Jacobo,"Consejería de Cultura y Patrimonio Histórico, Sevilla",,,-5.9875628,37.3869618
03/06/2021,Tramitación de proceso,Resolución de subvenciones en edificios,2021,2021-06-01,Administración General,Fase 4,Proceso,Sosa Priego,Sebastián,"Consejería de Fomento, Infraestructuras y Ordenación del Territorio, Córdoba",,,-4.7876985,37.8773685
03/06/2021,Reclamaciones y sanciones,Mejora en la calidad de tramitación de procedimientos,2021,2021-06-01,Administración General,Fase 4,Proceso,Toledo Rengel,Luis Pablo,"Consejería de Turismo, Regeneración, Justicia y Administración Local, Sevilla",,,-5.9931103,37.3802139
